,Instance,List,Gap,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model
0,0,0,0.7208673028694456,0.0,481157.0,554.8394265503275,625.1871811707653,66.35635304450989,Grid,Alpha-e,MTZ
1,0,0,0.7003017151911599,0.0,627621.0,520.9089288955659,660.3450240938674,78.15587377548218,Delauney,Alpha-e,MTZ
2,1,0,0.6479040329038823,0.0,665025.0,737.853006235014,797.203331024373,43.74301791191101,Grid,Alpha-e,MTZ
3,1,0,0.7956725026131561,0.0,422635.0,756.1223993866835,875.7886268884059,337.81938099861145,Delauney,Alpha-e,MTZ
4,2,0,0.7924474194719184,0.0,431506.0,642.3644182956072,811.8522738537154,40.16872978210449,Grid,Alpha-e,MTZ
5,2,0,0.8174776119065663,0.0,801915.0,621.0160128341233,677.5393867440483,223.98982310295105,Delauney,Alpha-e,MTZ
6,3,0,0.7947655911586302,0.0,493460.0,641.1140225442346,770.8226255823104,39.84310698509216,Grid,Alpha-e,MTZ
7,3,0,0.8210325383511863,0.0,283141.0,640.4542513852377,737.6839160107868,77.87975192070007,Delauney,Alpha-e,MTZ
8,4,0,0.641274043189728,0.0,702574.0,587.7835080244511,618.7293417427935,335.49102878570557,Grid,Alpha-e,MTZ
9,4,0,0.7780191606764527,0.0,342691.0,551.847519643176,699.7176682950033,56.74786305427551,Delauney,Alpha-e,MTZ
10,0,0,0.5836044031535014,0.0,796177.0,637.877797220508,767.68033660018,59.93138003349304,Grid,Alpha-g,MTZ
11,0,0,0.6552996106273054,0.0,1011452.0,567.8207179834883,646.0062015617037,96.24503707885742,Delauney,Alpha-g,MTZ
12,1,0,0.5733201726951669,0.0,834019.0,684.5446967936631,850.5939656993116,72.733571767807,Grid,Alpha-g,MTZ
13,1,0,0.5531451009594692,0.0,725553.0,638.8279929413573,778.4480486873293,100.54993486404419,Delauney,Alpha-g,MTZ
14,2,0,0.536551069117586,0.0,1226403.0,622.2799915978475,737.7517711905787,52.53993606567383,Grid,Alpha-g,MTZ
15,2,0,0.5917138930027699,0.0,1017411.0,587.2011362237718,668.4998874892002,85.67615103721619,Delauney,Alpha-g,MTZ
16,3,0,0.5141332838758224,0.0,1497166.0,571.8800597262039,635.0642517509862,45.020710945129395,Grid,Alpha-g,MTZ
17,3,0,0.5781864138769213,0.0,646106.0,614.2977373289225,701.0017915111323,88.26664710044861,Delauney,Alpha-g,MTZ
18,4,0,0.5490632661291024,0.0,1111521.0,642.4844269701229,723.6595325438111,64.3856680393219,Grid,Alpha-g,MTZ
19,4,0,0.7331409158816212,0.0,633988.0,562.2165145877419,601.243277364441,92.4424638748169,Delauney,Alpha-g,MTZ
20,0,1,0.7900868318923618,0.0,206492.0,1253.570474383352,1529.9400993621857,124.60238409042358,Grid,Alpha-e,MTZ
21,0,1,0.8417610360692938,0.0,3471.0,1400.244433179492,1464.6376544602488,385.08836126327515,Delauney,Alpha-e,MTZ
22,1,1,0.7534722280254443,0.0,162553.0,993.6467014566957,1343.8089379473895,178.603924036026,Grid,Alpha-e,MTZ
23,1,1,0.7749554851327819,0.0,150429.0,1011.8860719714554,1157.795631546013,254.21100521087646,Delauney,Alpha-e,MTZ
24,2,1,0.7746872911157471,0.0,222229.0,1121.7880350952614,1322.8719102562561,373.9309329986572,Grid,Alpha-e,MTZ
25,2,1,0.8068550930615286,0.0,276732.0,1194.528000613232,1430.8971152553186,153.84629702568054,Delauney,Alpha-e,MTZ
26,3,1,0.7286121325007321,0.0,259945.0,1120.4779897623505,1353.2563059912068,372.12263107299805,Grid,Alpha-e,MTZ
27,3,1,0.8116032033719736,0.0,31656.0,1129.3725914965478,1285.5462692693238,388.775759935379,Delauney,Alpha-e,MTZ
28,4,1,0.7448305592293064,0.0,194660.0,1068.9726179593918,1335.9840109300005,160.67678332328796,Grid,Alpha-e,MTZ
29,4,1,0.763958597814738,0.0,4505.0,1054.502199775515,1159.4498982132475,391.54669880867004,Delauney,Alpha-e,MTZ
30,0,1,0.7637261320543386,0.0,167983.0,892.6704356720692,1464.139990447128,141.46373295783997,Grid,Alpha-g,MTZ
31,0,1,0.7517830135733791,0.0,124306.0,1003.4411136479347,1409.7523175572019,372.23838210105896,Delauney,Alpha-g,MTZ
32,1,1,0.6791547069961235,0.0,314485.0,1069.0606584727045,1471.9374517677782,181.61373591423035,Grid,Alpha-g,MTZ
33,1,1,0.7543108896589601,0.0,128560.0,1046.7606203337189,1337.335009651382,299.99331402778625,Delauney,Alpha-g,MTZ
34,2,1,0.7179857933097139,0.0,275430.0,891.6823165726896,1040.8058836619598,297.6613438129425,Grid,Alpha-g,MTZ
35,2,1,0.7439490048218987,0.0,283244.0,905.9013458858566,1079.6780051922826,324.05775713920593,Delauney,Alpha-g,MTZ
36,3,1,0.6370160490800431,0.0,223246.0,1093.3666397864395,1458.9816773161103,91.83214902877808,Grid,Alpha-g,MTZ
37,3,1,0.7146458741895079,0.0,156120.0,904.662481915587,1197.3244621829638,390.8733160495758,Delauney,Alpha-g,MTZ
38,4,1,0.7311555736069194,0.0,212921.0,1008.3874495371808,1394.5716467928698,200.48463416099548,Grid,Alpha-g,MTZ
39,4,1,0.7394877811121247,0.0,217774.0,1020.5683794751474,1390.58839700859,378.0390269756317,Delauney,Alpha-g,MTZ
40,0,2,0.7436610969358837,0.0,92104.0,1681.5697223560658,2235.7651962567306,420.2454481124878,Grid,Alpha-e,MTZ
41,0,2,0.7714979786161476,0.0,72200.0,1658.4111475879602,2078.140736978056,438.3607256412506,Delauney,Alpha-e,MTZ
42,1,2,0.7858830402681831,0.0,147063.0,1843.4456763460162,2118.714323812478,386.44566917419434,Grid,Alpha-e,MTZ
43,1,2,0.812486360478911,0.0,15447.0,1950.6051698378444,2087.180875515421,453.435604095459,Delauney,Alpha-e,MTZ
44,2,2,0.7305389166152951,0.0,86661.0,1529.9442452884025,1774.4415799226863,329.17730808258057,Grid,Alpha-e,MTZ
45,2,2,0.7582746268150085,0.0,109268.0,1497.9233375495994,1989.849682956905,445.4550940990448,Delauney,Alpha-e,MTZ
46,3,2,0.7636791871991068,0.0,88508.0,1650.4322033013489,1823.8507993805297,459.7846450805664,Grid,Alpha-e,MTZ
47,3,2,0.851372438347249,0.0,15713.0,2657.15453485294,2713.354561346249,449.34641098976135,Delauney,Alpha-e,MTZ
48,4,2,0.7603702779149946,0.0,77450.0,1674.2140081954217,2262.1361278286836,242.81487107276917,Grid,Alpha-e,MTZ
49,4,2,0.8037156933420071,0.0,58259.0,1752.7574634524317,2215.9175866470246,451.45346212387085,Delauney,Alpha-e,MTZ
50,0,2,0.728199276584121,0.0,150981.0,1474.9008142857092,1817.2915754367625,405.27902579307556,Grid,Alpha-g,MTZ
51,0,2,0.7807773227669922,0.0,82565.0,1608.0340239135928,2021.5112392763683,455.96689772605896,Delauney,Alpha-g,MTZ
52,1,2,0.6138890253404168,0.0,82603.0,1621.7131680031625,2108.8688133091646,408.16214895248413,Grid,Alpha-g,MTZ
53,1,2,0.7380983185540724,0.0,82842.0,1550.2861148386603,1980.136791831304,446.14174723625183,Delauney,Alpha-g,MTZ
54,2,2,0.7354842822188258,0.0,104636.0,1341.5833029578928,2185.083185565088,238.35596108436584,Grid,Alpha-g,MTZ
55,2,2,0.7784415642781166,0.0,60309.0,1357.567318975115,1979.3591885635014,456.40430521965027,Delauney,Alpha-g,MTZ
56,3,2,0.7640467543487225,0.0,135209.0,1422.694756375282,1978.808437108658,181.90629076957703,Grid,Alpha-g,MTZ
57,3,2,0.7531279153697243,0.0,109376.0,1698.0067590756748,2056.755896213898,302.32314467430115,Delauney,Alpha-g,MTZ
58,4,2,0.7027280467139572,0.0,125941.0,1350.6254834054153,2248.8821066895553,398.7409989833832,Grid,Alpha-g,MTZ
59,4,2,0.7506929236159335,0.0,48716.0,1539.430879448532,2166.484675842275,484.9688022136688,Delauney,Alpha-g,MTZ
60,0,3,0.7268529765092439,0.0,68540.0,2082.126137447242,2574.536386853869,500.82841300964355,Grid,Alpha-e,MTZ
61,0,3,0.7930751724931348,0.0,20556.0,2010.6237119594862,2872.211745164909,553.8031358718872,Delauney,Alpha-e,MTZ
62,1,3,0.7353688437045611,0.0,67346.0,2092.7039576236484,2899.3735280708256,373.5717120170593,Grid,Alpha-e,MTZ
63,1,3,0.7703036900862797,0.0,35674.0,2065.8295938079623,2324.514326551189,492.1233401298523,Delauney,Alpha-e,MTZ
64,2,3,0.7514877137195064,0.0,69512.0,2302.761721378486,3195.51243435273,497.18808603286743,Grid,Alpha-e,MTZ
65,2,3,0.8181282886113449,0.0,20851.0,2668.0417587683905,3206.0698271925394,498.5826201438904,Delauney,Alpha-e,MTZ
66,3,3,0.7419609457466517,0.0,53820.0,2246.928295847858,3000.8152284087405,466.2887239456177,Grid,Alpha-e,MTZ
67,3,3,0.8311834535232693,0.0,39538.0,2704.6457096715744,2836.332604565013,515.6960179805756,Delauney,Alpha-e,MTZ
68,4,3,0.7768337867902771,0.0,48776.0,2349.1302265325526,3474.7097450599326,570.5476949214935,Grid,Alpha-e,MTZ
69,4,3,0.804777481622514,0.0,37036.0,2585.4439551899964,2807.500771810951,514.6892788410187,Delauney,Alpha-e,MTZ
70,0,3,0.7090502310528026,0.0,86367.0,1860.3073114736978,2680.3070446067827,365.7839608192444,Grid,Alpha-g,MTZ
71,0,3,0.7829515584327371,0.0,38565.0,1760.5029596477582,2009.2817720352862,513.8002471923828,Delauney,Alpha-g,MTZ
72,1,3,0.7131547274115032,0.0,83267.0,2190.0025748189623,3017.0395162766977,593.4213416576385,Grid,Alpha-g,MTZ
73,1,3,0.8163768176235295,0.0,34660.0,1917.8174156199898,2025.5740885381108,675.0837194919586,Delauney,Alpha-g,MTZ
74,2,3,0.7306454714830449,0.0,65529.0,1801.8744354787673,3148.829345250306,389.52330112457275,Grid,Alpha-g,MTZ
75,2,3,0.7650423611910031,0.0,39133.0,2282.0593208379823,3171.1762311823836,639.5401818752289,Delauney,Alpha-g,MTZ
76,3,3,0.7078618885469465,0.0,48084.0,2091.0099069971448,2519.634124878336,570.191623210907,Grid,Alpha-g,MTZ
77,3,3,0.7408064633994592,0.0,40957.0,2585.922390087316,3363.9038894530954,574.5911738872528,Delauney,Alpha-g,MTZ
78,4,3,0.6934232311089108,0.0,80201.0,1955.8593422379295,2952.0052828470957,542.4093589782715,Grid,Alpha-g,MTZ
79,4,3,0.7682053698611107,0.0,34223.0,2171.6852805598733,2716.9072628569934,511.48642468452454,Delauney,Alpha-g,MTZ
